,gender,age,race,location,risk,workers number,annual turnover,principal,legal status,establish time,credit purchase,funds injections,previous turndown,written plan,regular management account,product or service development,business innovation,loss or profit,credit balance,finance qualification for manager,turnover growth rate,final outcomes,Binary Y,new annual turnover,new workers number,new funds injections,new location,new gender,new establish time,new race,new age,size
46,2,2,12,10,4,3,3,8,4,2,1,3,2,1,1,1,1,1,1,1,3,4,0,2,2,2,1,0,0,0,0,3
47,1,2,3,10,3,1,4,6,1,6,1,2,2,0,0,0,1,1,2,2,3,2,1,2,1,2,1,1,1,0,0,0
48,1,3,1,10,4,1,1,6,1,3,1,1,2,0,0,0,0,3,1,2,2,1,1,1,1,1,1,1,1,1,1,0
49,1,3,1,11,3,2,5,4,1,6,1,3,2,0,0,0,0,1,1,2,4,1,1,3,1,2,1,1,1,1,1,0
50,1,1,1,12,4,2,4,9,2,3,1,3,2,1,0,0,0,2,1,2,2,2,1,2,1,2,0,1,1,1,0,0
51,1,2,5,10,4,2,2,9,4,3,1,3,2,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0
52,1,4,1,10,4,1,2,3,4,3,1,3,2,0,0,1,1,3,1,2,3,1,1,1,1,2,1,1,1,1,1,0
53,2,2,1,3,3,2,5,9,4,2,1,1,2,0,0,0,0,3,1,2,3,1,1,3,1,1,0,0,0,1,0,0
54,1,3,3,3,4,2,7,3,4,4,1,3,2,1,0,0,0,3,3,2,2,3,0,4,1,2,0,1,1,0,1,0
55,1,3,1,4,1,2,5,7,4,5,1,2,2,0,1,0,1,1,2,2,1,2,1,3,1,2,0,1,1,1,1,0
56,2,3,1,4,3,2,5,4,1,6,1,3,2,1,1,1,1,2,1,2,3,1,1,3,1,2,0,0,1,1,1,0
57,1,2,1,12,4,2,5,7,4,4,1,2,2,1,1,1,1,1,1,2,2,3,0,3,1,2,0,1,1,1,0,0
58,1,2,1,1,3,2,5,3,4,4,1,1,2,0,0,0,1,1,2,2,2,4,0,3,1,1,0,1,1,1,0,0
59,1,3,1,10,3,3,9,4,4,6,1,1,2,1,1,1,1,1,1,2,2,1,1,5,2,1,1,1,1,1,1,1
60,1,2,1,4,4,1,1,3,1,5,1,3,2,0,0,0,0,1,1,2,4,4,0,1,1,2,0,1,1,1,0,0
61,2,1,5,10,4,1,1,7,1,1,1,3,2,0,0,0,0,2,1,2,3,4,0,1,1,2,1,0,0,0,0,0
62,2,3,1,10,3,2,5,2,2,6,1,1,2,1,1,1,1,1,3,1,2,1,1,3,1,1,1,0,1,1,1,0
63,1,3,1,1,2,2,5,1,2,6,1,1,2,0,0,0,0,3,1,2,3,1,1,3,1,1,0,1,1,1,1,0
64,1,2,1,6,2,1,3,3,4,3,1,3,2,1,0,0,0,3,1,2,2,4,0,2,1,2,0,1,1,1,0,0
65,1,3,1,6,1,3,8,1,4,6,1,1,2,0,0,0,0,1,6,2,2,1,1,5,2,1,0,1,1,1,1,3
66,1,3,1,1,2,2,6,1,1,6,1,3,2,0,0,0,0,2,2,2,4,4,0,3,1,2,0,1,1,1,1,0
67,2,2,1,1,3,2,8,1,2,6,1,1,2,0,0,0,1,1,6,2,2,2,1,5,1,1,0,0,1,1,0,0
68,3,2,1,4,2,2,6,1,2,5,1,2,2,0,0,0,0,1,1,2,3,1,1,3,1,2,0,1,1,1,0,0
69,2,3,1,8,2,2,5,6,1,4,1,3,2,1,0,1,1,1,1,2,1,4,0,3,1,2,0,0,1,1,1,0
70,2,3,1,11,4,1,2,5,4,5,1,3,2,1,0,0,0,2,1,2,4,4,0,1,1,2,1,0,1,1,1,0
71,3,3,1,8,4,2,5,1,2,6,1,1,2,0,0,0,1,1,1,2,1,4,0,3,1,1,0,1,1,1,1,0
72,1,3,1,6,2,2,6,7,1,5,1,1,2,0,1,0,0,1,1,2,1,4,0,3,1,1,0,1,1,1,1,0
73,1,2,1,8,2,2,5,5,2,6,1,1,2,1,0,1,1,1,1,2,3,1,1,3,1,1,0,1,1,1,0,0
74,1,2,1,2,4,1,3,5,1,1,1,3,2,1,0,0,1,3,1,1,3,2,1,2,1,2,0,1,0,1,0,0
75,2,3,1,9,2,2,6,1,2,6,1,3,2,0,1,0,0,1,1,2,2,1,1,3,1,2,0,0,1,1,1,0
76,1,3,3,1,2,2,1,1,1,6,1,3,2,0,0,0,1,1,1,1,2,1,1,1,1,2,0,1,1,0,1,0
77,1,3,1,11,4,2,5,5,1,3,1,3,2,0,1,1,0,1,2,1,2,2,1,3,1,2,1,1,1,1,1,0
78,1,2,1,10,3,3,6,6,4,4,1,1,2,0,1,0,1,1,1,2,4,4,0,3,2,1,1,1,1,1,0,3
79,1,3,6,10,4,2,1,7,2,2,1,1,2,0,0,0,0,1,1,2,3,4,0,1,1,1,1,1,0,0,1,0
80,1,1,2,12,4,3,1,9,1,2,1,1,2,1,1,1,1,1,1,2,3,4,0,1,2,1,0,1,0,0,0,3
81,1,4,1,3,4,2,3,2,1,4,1,3,2,0,0,0,0,2,2,2,4,4,0,2,1,2,0,1,1,1,1,0
82,1,2,1,5,3,3,8,6,2,6,1,1,2,1,1,1,0,1,4,1,2,2,1,5,2,1,0,1,1,1,0,3
83,1,2,1,8,2,1,6,4,1,6,1,1,2,0,0,0,1,1,2,2,3,1,1,3,1,1,0,1,1,1,0,0
84,2,2,1,5,3,2,6,7,4,5,1,2,2,1,1,0,1,1,1,2,2,1,1,3,1,2,0,0,1,1,0,0
85,1,2,1,11,4,3,9,4,4,6,1,3,2,1,1,0,1,2,3,2,3,3,0,5,2,2,1,1,1,1,0,1
86,1,3,1,11,1,3,8,9,4,6,1,2,2,0,1,1,1,1,6,2,2,1,1,5,2,2,1,1,1,1,1,3
87,1,2,1,3,2,4,7,8,4,5,1,1,2,1,1,0,1,1,3,2,1,4,0,4,3,1,0,1,1,1,0,3
88,1,4,1,4,1,3,9,1,4,6,1,3,2,1,1,1,1,1,1,2,3,1,1,5,2,2,0,1,1,1,1,1
89,2,2,3,11,4,2,5,4,1,3,1,1,2,0,0,0,0,1,1,1,3,1,1,3,1,1,1,0,1,0,0,0
90,1,4,1,11,2,2,7,7,4,6,1,3,2,1,1,1,1,1,1,2,2,1,1,4,1,2,1,1,1,1,1,0
91,1,3,1,12,3,3,6,5,4,6,1,1,2,1,0,0,0,1,1,1,2,1,1,3,2,1,0,1,1,1,1,3
92,2,2,4,10,2,2,5,9,4,4,1,3,2,1,1,0,0,2,1,2,3,1,1,3,1,2,1,0,1,0,0,0
93,1,2,1,6,2,2,6,7,4,6,1,3,2,0,0,1,1,1,1,2,1,4,0,3,1,2,0,1,1,1,0,0
94,1,4,2,12,1,3,8,4,4,6,1,1,2,1,1,1,1,1,1,2,2,2,1,5,2,1,0,1,1,0,1,3
95,1,2,1,9,3,3,6,3,4,6,1,1,2,0,0,0,1,2,1,2,4,1,1,3,2,1,0,1,1,1,0,3
96,1,4,1,3,1,5,12,7,4,6,1,1,2,0,1,1,1,1,6,1,2,1,1,6,3,1,0,1,1,1,1,2
97,1,2,1,11,2,3,8,2,4,6,1,3,2,0,0,1,1,2,1,2,3,1,1,5,2,2,1,1,1,1,0,3
98,1,2,1,5,2,3,9,2,4,6,1,2,2,0,1,0,1,1,6,1,2,1,1,5,2,2,0,1,1,1,0,1
99,1,3,1,6,3,3,8,3,4,6,1,1,2,0,0,0,0,2,5,2,4,1,1,5,2,1,0,1,1,1,1,3
100,1,4,1,11,1,3,8,1,4,6,1,1,2,1,1,0,0,1,8,1,2,1,1,5,2,1,1,1,1,1,1,3
101,1,2,1,7,1,3,9,1,4,6,1,1,2,1,1,0,0,2,1,1,1,1,1,5,2,1,0,1,1,1,0,1
102,1,2,1,10,1,3,7,8,2,6,1,1,2,1,1,0,1,1,3,1,2,4,0,4,2,1,1,1,1,1,0,3
103,1,2,1,2,3,2,6,5,1,5,1,3,2,0,0,0,0,2,1,1,4,1,1,3,1,2,0,1,1,1,0,0
104,3,3,1,7,2,3,8,4,2,6,1,1,2,0,1,0,1,1,4,2,3,2,1,5,2,1,0,1,1,1,1,3
105,1,3,1,10,2,3,9,9,4,6,1,3,2,1,1,0,1,1,5,1,2,2,1,5,2,2,1,1,1,1,1,1
106,2,3,1,4,3,2,8,9,4,5,1,1,2,0,0,1,0,1,1,2,3,1,1,5,1,1,0,0,1,1,1,0
107,1,2,1,4,2,2,9,2,4,6,1,3,2,1,1,0,1,1,4,2,1,4,0,5,1,2,0,1,1,1,0,3
108,1,3,1,4,1,3,1,7,4,5,1,1,2,0,1,0,0,1,1,1,4,1,1,1,2,1,0,1,1,1,1,3
109,1,3,1,4,3,3,7,5,2,6,1,3,2,1,1,0,1,1,1,2,3,1,1,4,2,2,0,1,1,1,1,3
110,1,2,1,10,2,3,2,3,3,3,1,3,2,1,0,0,0,1,2,1,2,1,1,1,2,2,1,1,1,1,0,3
111,1,3,1,9,4,2,7,3,4,5,1,1,2,1,1,1,1,1,4,1,4,4,0,4,1,1,0,1,1,1,1,0
112,1,2,1,7,4,3,9,8,4,3,1,3,2,1,1,1,1,1,1,2,2,3,0,5,2,2,0,1,1,1,0,1
113,1,2,1,10,2,5,11,8,4,5,1,1,2,1,1,0,1,1,4,1,2,1,1,6,3,1,1,1,1,1,0,2
114,1,3,1,2,3,3,8,8,4,6,1,1,2,0,0,0,0,1,5,2,3,1,1,5,2,1,0,1,1,1,1,3
115,1,2,1,9,3,2,8,3,4,6,1,2,2,1,1,0,1,1,1,1,1,1,1,5,1,2,0,1,1,1,0,0
116,1,3,1,5,3,3,9,4,4,6,1,1,2,0,1,1,0,1,1,1,3,1,1,5,2,1,0,1,1,1,1,1
117,1,3,1,9,3,3,9,9,4,6,1,3,2,0,1,0,0,1,1,1,4,2,1,5,2,2,0,1,1,1,1,1
118,1,3,1,9,1,3,8,8,4,5,1,1,2,1,1,0,1,1,5,2,4,2,1,5,2,1,0,1,1,1,1,3
119,1,2,1,2,4,3,5,3,4,4,1,3,2,1,1,0,0,2,2,2,4,1,1,3,2,2,0,1,1,1,0,3
120,1,3,8,10,2,3,8,2,4,6,1,1,2,0,0,0,1,1,5,2,4,4,0,5,2,1,1,1,1,0,1,3
121,1,2,1,10,2,3,7,2,4,6,1,1,2,1,1,0,1,1,5,2,2,1,1,4,2,1,1,1,1,1,0,3
122,3,3,1,2,3,3,8,3,2,6,1,2,2,0,1,1,1,1,2,1,1,1,1,5,2,2,0,1,1,1,1,3
123,1,3,8,10,2,2,7,7,4,5,1,3,2,0,1,1,1,1,4,2,1,2,1,4,1,2,1,1,1,0,1,0
124,1,2,1,11,3,3,7,5,4,5,1,2,2,0,0,0,1,1,2,2,2,2,1,4,2,2,1,1,1,1,0,3
125,1,2,1,3,2,3,6,3,4,4,1,1,2,0,1,0,0,1,4,1,2,1,1,3,2,1,0,1,1,1,0,3
126,1,3,1,9,3,3,7,5,1,4,1,1,2,1,1,0,0,1,2,2,4,1,1,4,2,1,0,1,1,1,1,3
127,1,3,1,7,2,3,9,7,4,6,1,2,2,0,1,0,1,1,4,2,2,1,1,5,2,2,0,1,1,1,1,1
128,1,2,1,4,3,2,7,3,4,4,1,3,2,0,1,0,0,1,1,2,1,4,0,4,1,2,0,1,1,1,0,0
129,1,3,1,9,3,2,6,7,4,4,1,3,2,0,1,0,1,2,2,1,2,4,0,3,1,2,0,1,1,1,1,0
130,1,3,1,4,3,4,8,8,2,6,1,1,2,1,0,1,1,1,1,1,3,2,1,5,3,1,0,1,1,1,1,3
131,1,2,2,12,3,3,9,4,1,3,1,1,2,0,0,0,0,1,1,2,2,2,1,5,2,1,0,1,1,0,0,1
132,2,2,1,9,2,3,7,5,2,5,1,3,2,1,0,0,0,1,1,2,2,1,1,4,2,2,0,0,1,1,0,3
133,1,2,1,8,2,3,10,2,4,6,1,1,2,1,1,0,1,1,1,2,2,1,1,6,2,1,0,1,1,1,0,1
134,1,3,1,11,1,3,8,7,2,6,1,1,2,1,1,0,1,1,6,2,2,1,1,5,2,1,1,1,1,1,1,3
135,2,2,1,5,1,3,8,1,2,6,1,1,2,0,1,0,0,1,1,1,2,1,1,5,2,1,0,0,1,1,0,3
136,1,3,1,11,2,3,7,4,4,6,1,1,2,0,1,0,1,1,1,2,2,1,1,4,2,1,1,1,1,1,1,3
137,1,2,3,10,2,2,6,5,4,3,1,3,2,1,1,1,1,1,2,2,2,3,0,3,1,2,1,1,1,0,0,0
138,1,3,1,4,2,4,5,6,4,5,1,1,2,1,1,0,0,1,5,2,3,1,1,3,3,1,0,1,1,1,1,3
139,1,3,1,7,4,2,7,2,4,5,1,1,2,1,1,0,0,2,1,2,3,1,1,4,1,1,0,1,1,1,1,0
140,1,3,1,4,3,3,8,4,4,6,1,1,2,1,1,1,1,1,1,1,2,1,1,5,2,1,0,1,1,1,1,3
141,3,2,1,1,3,3,6,5,2,3,1,3,2,0,1,0,1,2,1,2,2,4,0,3,2,2,0,1,1,1,0,3
142,1,2,8,10,2,4,9,5,3,5,1,1,2,1,1,0,0,1,6,2,2,1,1,5,3,1,1,1,1,0,0,3
143,1,2,1,11,4,3,3,6,4,4,1,1,2,1,0,0,1,1,2,2,1,4,0,2,2,1,1,1,1,1,0,3
144,1,2,1,3,3,3,6,5,1,3,1,3,2,1,1,1,1,2,1,2,4,2,1,3,2,2,0,1,1,1,0,3
145,2,2,1,4,2,3,8,7,4,4,1,3,2,1,1,1,1,1,1,2,4,2,1,5,2,2,0,0,1,1,0,3
146,3,3,1,2,1,3,5,9,2,3,1,3,2,1,1,0,0,1,1,1,4,4,0,3,2,2,0,1,1,1,1,3
147,2,3,3,1,3,3,5,5,2,4,1,3,2,1,0,1,1,1,1,1,3,2,1,3,2,2,0,0,1,0,1,3
148,1,3,1,7,1,3,9,1,4,6,1,1,2,0,1,1,1,1,1,1,3,2,1,5,2,1,0,1,1,1,1,1
149,2,2,1,8,3,3,9,4,4,6,1,1,2,0,0,0,0,1,3,2,2,1,1,5,2,1,0,0,1,1,0,1
150,1,2,1,11,2,3,7,8,4,6,1,1,2,0,1,0,1,1,4,2,2,1,1,4,2,1,1,1,1,1,0,3
151,1,3,1,8,4,3,8,6,4,6,1,3,2,0,0,0,1,1,1,1,3,2,1,5,2,2,0,1,1,1,1,3
152,1,3,1,3,1,2,6,7,2,6,1,1,2,1,1,0,0,1,6,2,2,1,1,3,1,1,0,1,1,1,1,0
153,1,2,1,5,3,3,7,9,4,6,1,2,2,1,1,0,1,1,3,2,3,2,1,4,2,2,0,1,1,1,0,3
154,1,3,1,5,3,3,7,5,2,6,1,2,2,0,0,1,0,1,4,1,4,1,1,4,2,2,0,1,1,1,1,3
155,1,3,1,5,3,3,8,4,2,6,1,3,2,0,1,0,0,1,4,2,4,4,0,5,2,2,0,1,1,1,1,3
156,1,2,1,5,4,3,9,4,4,6,1,2,2,0,1,0,1,1,4,2,4,1,1,5,2,2,0,1,1,1,0,1
157,1,2,1,6,2,3,8,7,4,4,1,1,2,0,1,0,1,1,6,2,1,4,0,5,2,1,0,1,1,1,0,3
158,1,2,1,5,1,3,7,7,4,5,1,1,2,1,1,0,0,1,6,1,2,1,1,4,2,1,0,1,1,1,0,3
159,1,3,1,1,4,3,7,5,4,4,1,2,2,1,1,1,1,1,3,1,2,4,0,4,2,2,0,1,1,1,1,3
160,2,3,1,3,3,3,7,5,4,5,1,1,2,1,1,0,1,1,4,1,3,2,1,4,2,1,0,0,1,1,1,3
161,1,3,1,6,3,3,9,7,4,6,1,1,2,1,1,0,1,1,6,1,2,1,1,5,2,1,0,1,1,1,1,1
162,2,2,1,5,2,3,7,3,4,5,1,1,2,0,0,0,0,1,3,2,3,1,1,4,2,1,0,0,1,1,0,3
163,1,2,1,6,4,3,7,4,4,5,1,3,2,0,1,1,1,1,1,1,4,1,1,4,2,2,0,1,1,1,0,3
164,1,2,1,6,2,3,5,3,4,5,1,1,2,1,1,0,1,1,1,1,3,1,1,3,2,1,0,1,1,1,0,3
165,2,2,1,3,2,3,7,7,4,5,1,1,2,0,1,0,0,1,1,2,1,4,0,4,2,1,0,0,1,1,0,3
166,1,2,8,6,1,3,7,7,4,4,1,1,2,1,1,1,1,1,5,1,1,4,0,4,2,1,0,1,1,0,0,3
167,1,3,1,5,1,3,8,8,3,5,1,1,2,0,0,0,1,1,1,2,2,1,1,5,2,1,0,1,1,1,1,3
168,1,3,1,2,1,3,7,9,4,6,1,1,2,0,1,0,1,1,2,1,2,1,1,4,2,1,0,1,1,1,1,3
169,1,3,1,3,3,3,8,9,4,6,1,2,2,0,1,0,1,1,1,1,1,1,1,5,2,2,0,1,1,1,1,3
170,2,3,1,7,2,3,8,6,4,6,1,1,2,1,1,1,1,1,6,2,2,1,1,5,2,1,0,0,1,1,1,3
171,1,3,7,11,2,3,11,7,4,6,1,1,2,1,1,1,1,1,1,1,3,1,1,6,2,1,1,1,1,0,1,3
172,1,3,1,7,2,5,7,6,4,4,1,3,2,1,1,1,1,3,1,1,4,1,1,4,3,2,0,1,1,1,1,3
173,2,2,1,1,1,6,8,7,1,2,1,1,2,1,0,0,0,1,8,1,3,1,1,5,3,1,0,0,0,1,0,3
174,2,2,1,1,1,5,11,9,4,6,1,1,2,1,1,1,1,1,7,1,2,2,1,6,3,1,0,0,1,1,0,2
175,1,3,1,1,2,3,8,7,2,6,1,1,2,1,1,0,1,1,1,2,2,1,1,5,2,1,0,1,1,1,1,3
176,1,2,16,10,3,6,9,8,4,5,1,1,2,1,1,0,0,1,3,1,2,2,1,5,3,1,1,1,1,0,0,3
177,1,3,1,9,3,4,8,5,4,3,1,1,2,1,1,0,1,1,4,2,2,1,1,5,3,1,0,1,1,1,1,3
178,1,2,1,2,4,3,9,3,4,6,1,1,2,0,1,0,0,1,1,2,3,1,1,5,2,1,0,1,1,1,0,1
179,1,2,1,5,2,4,9,2,4,5,1,1,2,1,1,1,1,1,1,1,1,1,1,5,3,1,0,1,1,1,0,3
180,1,3,1,11,4,5,11,6,4,6,1,3,2,1,1,0,1,3,2,2,3,1,1,6,3,2,1,1,1,1,1,2
181,1,2,11,4,3,5,11,8,4,6,1,1,2,1,1,1,1,1,6,2,2,1,1,6,3,1,0,1,1,0,0,2
182,1,2,1,10,1,3,8,7,3,6,1,1,2,0,1,0,1,1,5,1,4,1,1,5,2,1,1,1,1,1,0,3
183,1,3,1,4,3,5,8,2,4,6,1,1,2,1,1,0,0,2,6,1,3,1,1,5,3,1,0,1,1,1,1,3
184,1,2,1,7,1,4,11,7,4,6,1,1,2,1,1,1,1,1,7,1,2,1,1,6,3,1,0,1,1,1,0,2
185,1,2,1,1,2,3,8,5,4,6,1,1,2,1,1,1,1,1,1,1,2,1,1,5,2,1,0,1,1,1,0,3
186,1,2,2,2,3,5,10,4,4,4,1,2,2,0,1,0,1,1,7,1,2,1,1,6,3,2,0,1,1,0,0,3
187,2,2,1,11,3,4,6,1,4,4,1,3,2,0,0,1,1,2,3,1,4,4,0,3,3,2,1,0,1,1,0,3
188,1,2,1,2,3,4,11,2,4,6,1,1,2,1,1,0,0,2,5,1,4,1,1,6,3,1,0,1,1,1,0,2
189,1,2,1,10,2,5,11,7,4,5,1,1,2,1,1,1,1,1,8,1,1,2,1,6,3,1,1,1,1,1,0,2
190,1,2,8,4,2,5,11,8,4,5,1,1,2,1,1,1,1,1,1,1,3,4,0,6,3,1,0,1,1,0,0,2
191,1,3,1,12,4,2,5,7,4,1,1,3,2,1,1,0,0,1,1,1,3,4,0,3,1,2,0,1,0,1,1,0
192,1,2,1,10,2,5,10,9,4,6,1,1,2,1,1,0,1,2,6,1,3,1,1,6,3,1,1,1,1,1,0,3
193,1,4,1,2,3,5,10,2,4,6,1,3,2,1,1,1,1,1,3,1,2,3,0,6,3,2,0,1,1,1,1,3
194,3,3,3,10,3,4,10,8,2,6,1,1,2,0,1,1,1,1,6,1,2,1,1,6,3,1,1,1,1,0,1,3
195,1,2,1,4,3,4,10,6,4,5,1,1,2,1,1,0,1,1,4,2,4,1,1,6,3,1,0,1,1,1,0,3
196,1,3,2,12,2,5,3,2,4,6,1,1,2,1,1,1,1,1,1,1,3,2,1,2,3,1,0,1,1,0,1,3
197,1,3,3,4,1,4,8,8,4,6,1,2,2,1,1,0,1,1,1,1,2,1,1,5,3,2,0,1,1,0,1,3
198,2,2,1,8,3,3,6,9,4,6,1,1,2,1,1,0,0,2,4,1,3,1,1,3,2,1,0,0,1,1,0,3
199,1,2,1,5,3,4,8,5,2,4,1,1,2,0,0,0,1,1,5,2,3,4,0,5,3,1,0,1,1,1,0,3
200,1,2,8,2,1,6,10,8,4,4,1,2,2,0,1,0,1,1,1,1,2,2,1,6,3,2,0,1,1,0,0,3
201,1,4,1,10,1,6,12,9,4,6,1,3,2,0,1,1,1,1,6,1,2,2,1,6,3,2,1,1,1,1,1,2
202,1,3,1,3,3,5,8,8,4,3,1,1,2,1,1,0,0,1,1,1,2,1,1,5,3,1,0,1,1,1,1,3
203,2,2,1,4,1,3,7,8,4,4,1,1,2,1,0,1,1,1,1,2,4,4,0,4,2,1,0,0,1,1,0,3
204,1,4,1,5,3,3,9,7,4,6,1,3,2,1,1,0,0,1,4,1,3,3,0,5,2,2,0,1,1,1,1,1
205,1,3,1,9,2,4,10,4,4,5,1,1,2,1,1,0,1,1,6,1,2,1,1,6,3,1,0,1,1,1,1,3
206,1,3,1,5,1,5,12,4,4,6,1,1,2,0,1,1,1,1,9,1,3,1,1,6,3,1,0,1,1,1,1,2
